term;term.soort;term.status;bron;term.nummer;scope_note
pin;objectnaam;niet gedefinieerd;"";"";""
compactdiscspeler;objectnaam;descriptor;http://vocab.getty.edu/aat/;300265818;""
Delden;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7006933;""
datum;soort opschrift;descriptor;http://vocab.getty.edu/aat/;300404439;""
spinringtang;objectnaam;niet gedefinieerd;"";"";""
elektriciteitskabel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300050615;""
Welkenraedt;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026802;""
Barnes;geografisch trefwoord;niet gedefinieerd;"";"";""
benzinelamp;objectnaam;descriptor;http://vocab.getty.edu/aat/;300182920;Lampen die zijn ontworpen om benzine te verdampen en erop te branden.
Shanghai;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7023856;""
Massachusetts;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007517;""
Tewksbury;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;2050747;""
Weiden in der Oberpfalz;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1041700;""
Glashütte;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1036786;""
Wooly 33;"";niet gedefinieerd;"";"";""
Elzele;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1026409;""
pompstengel;objectnaam;niet gedefinieerd;"";"";""
stel;objectnaam;niet gedefinieerd;"";"";""
binnenwerk;objectnaam;niet gedefinieerd;"";"";""
Ludwigsstadt;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7012587;""
roefel;objectnaam;niet gedefinieerd;"";"";""
kneep;objectnaam;niet gedefinieerd;"";"";""
Memphis;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7017750;""
gloeidraad;objectnaam;niet gedefinieerd;"";"";""
toevoerdraad;objectnaam;niet gedefinieerd;"";"";""
halffabrikaat;objectnaam;non-descriptor;"";"";""
schotelbeschermer;objectnaam;descriptor;"";"";""
gasgloeilichtbrander;objectnaam$onderwerp;descriptor;"";"";""
stolp (lamp);objectnaam;descriptor;"";"";""
blaker;objectnaam;descriptor;http://vocab.getty.edu/aat/;300180070;Kaarsenstandaards met een enkele kaarshouder op een platte schotel- of schaalvormige basis.
vloerplaat (kachel);objectnaam;descriptor;"";"";""
drijfas;objectnaam;niet gedefinieerd;"";"";""
as;objectnaam$inscriptie positie;niet gedefinieerd;"";"";""
Waasmunster;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026791;""
afvalbak;objectnaam;descriptor;https://www.wikidata.org/entity/;Q216530;""
Warrington;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012905;""
Bilston;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7011009;""
opneembuis;objectnaam;descriptor;"";"";""
praatpaal;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1613929;""
koffiefilterhouder;objectnaam;descriptor;https://www.wikidata.org/entity/;Q2240866;""
isoleerfles;objectnaam;descriptor;http://vocab.getty.edu/aat/;300400477;Dubbelwandige houders ontworpen om de temperatuur van de opgeslagen vloeistoffen te reguleren. Oorspronkelijk uitgevonden door Sir James Dewar.
gyroscoop;objectnaam;descriptor;https://www.wikidata.org/entity/;Q483400;""
Windsor;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1014349;""
Legnano;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005929;""
Binnenzijde links;inscriptie positie;niet gedefinieerd;"";"";""
minerale textielvezel;materiaal$onderwerp;descriptor;"";"";""
Lowell, Massachusetts;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7013915;""
Alefors;geografisch trefwoord$plaats;descriptor;https://www.wikidata.org/entity/;Q4705562;""
loodzegel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300299090;""
zeilring;objectnaam;descriptor;http://vocab.getty.edu/aat/;300080226;""
lak;materiaal;descriptor;http://vocab.getty.edu/aat/;300014916;""
niveaumeter;objectnaam;descriptor;"";"";""
cupro;materiaal;descriptor;http://vocab.getty.edu/aat/;300417871;""
Lexington (Kentucky);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7013887;""
vulling;objectnaam;descriptor;http://vocab.getty.edu/aat/;300227860;""
Portslade (Sussex);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1030353;""
buitenzijde;inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300010277;""
Eugies;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7240572;""
walkie-talkie;objectnaam;non-descriptor;"";"";""
